Date,Heure,Energie,Index,
20/01/2026,11:00,Solar,22410,
13/02/2026,16:00,Pisc,15723,
13/02/2026,16:00,CJour,1681,
13/02/2026,16:00,CNuit,1621,
13/02/2026,16:00,PJour,741,
13/02/2026,16:00,PNuit,310,
13/02/2026,16:00,Solar,22410,
13/02/2026,16:00,Eau,2286,
13/02/2026,16:00,Boiler,4485,
20/03/2026,21:30,Pisc,15773,
20/03/2026,21:30,CJour,1852,
20/03/2026,21:30,CNuit,1853,
20/03/2026,21:30,PJour,842,
20/03/2026,21:30,PNuit,523,
20/03/2026,21:30,Solar,23510,
20/03/2026,21:30,Eau,2295,
20/03/2026,21:30,Boiler,4648,
11/04/2026,11:10,Pisc,15855,
10/04/2026,21:30,CJour,1960,
10/04/2026,21:30,CNuit,1991,
10/04/2026,21:30,PJour,932,
10/04/2026,21:30,PNuit,731,
11/04/2026,11:10,Solar,23510,
11/04/2026,11:10,Eau,2304,
11/04/2026,11:10,Boiler,4750,
07/05/2026,15:30,Pisc,16630,
07/05/2026,15:30,CJour,2273,
07/05/2026,15:30,CNuit,2309,
07/05/2026,15:30,PJour,1039,
07/05/2026,15:30,PNuit,887,
12/05/2026,22:00,Solar,24900,
07/05/2026,15:30,Eau,2312,
07/05/2026,15:30,Boiler,4873,
,,,,
16/06/2026,19:55,Pisc,17500,
16/06/2026,19:55,CJour,2567,
16/06/2026,19:55,CNuit,2679,
16/06/2026,19:55,PJour,1230,
16/06/2026,19:55,PNuit,1205,
17/06/2026,11:56,Solar,24900,
16/06/2026,19:55,Eau,2323,
16/06/2026,19:55,Boiler,5033,
,,,,
,,,,
03/07/2026,11:30,Eau,2331,
12/07/2026,13:00,Pisc,17838,
12/07/2026,13:00,CJour,2631,
12/07/2026,13:00,CNuit,2764,
12/07/2026,13:00,PJour,1445,
12/07/2026,13:00,PNuit,1600,
12/07/2026,13:00,Solar,27400,
12/07/2026,13:00,Boiler,5096,
,,,,
12/07/2026,13:00,Pisc,17838,
12/07/2026,13:00,CJour,2631,
12/07/2026,13:00,CNuit,2764,
12/07/2026,13:00,PJour,1445,
12/07/2026,13:00,PNuit,1600,
12/07/2026,13:00,Solar,27400,
12/07/2026,13:00,Eau,2333,
12/07/2026,13:00,Boiler,5096,
,,,,
13/08/2026,10:30,Pisc,18286,
13/08/2026,10:30,CJour,2745,
13/08/2026,10:30,CNuit,2886,
13/08/2026,10:30,PJour,1655,
13/08/2026,10:30,PNuit,2008,
17/08/2026,18:30,Solar,28900,
13/08/2026,10:30,Eau,2343,
